Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02 00:00:00-05:00,0.05001591891050339,0.05137765454302038,0.05001591891050339,0.05001591891050339,806400,0.0,0.0
1962-01-03 00:00:00-05:00,0.04927315161773146,0.04927315161773146,0.048158817447185455,0.048901576548814774,1574400,0.0,0.0
1962-01-04 00:00:00-05:00,0.0490255599400594,0.04964452487035558,0.0490255599400594,0.04927314817905426,844800,0.0,0.0
1962-01-05 00:00:00-05:00,0.04927313590732352,0.0498921006834633,0.048035008003409485,0.04815880209207535,1420800,0.0,0.0
1962-01-08 00:00:00-05:00,0.047787438092168864,0.047787438092168864,0.046735094427637416,0.04766364395618439,2035200,0.0,0.0
1962-01-09 00:00:00-05:00,0.04766365264164499,0.04877779440133689,0.047292270166016774,0.048530206084251404,960000,0.0,0.0
1962-01-10 00:00:00-05:00,0.04853018946929594,0.049458741682741114,0.048035018671846036,0.04877777770161629,1612800,0.0,0.0
1962-01-11 00:00:00-05:00,0.04877777901657164,0.04927314817905426,0.04853019077757678,0.04927314817905426,614400,0.0,0.0
1962-01-12 00:00:00-05:00,0.04927315161773146,0.04927315161773146,0.04840640570345901,0.048901576548814774,883200,0.0,0.0
1962-01-15 00:00:00-05:00,0.04877779898152147,0.04877779898152147,0.04828262796804723,0.04840642213821411,614400,0.0,0.0
1962-01-16 00:00:00-05:00,0.048282587150318086,0.048282587150318086,0.047477832215877765,0.04753982275724411,1113600,0.0,0.0
1962-01-17 00:00:00-05:00,0.04753984227613404,0.04753984227613404,0.04605431854724884,0.04605431854724884,1574400,0.0,0.0
1962-01-18 00:00:00-05:00,0.04605429412568089,0.04630187939347586,0.04493996065223298,0.04512574523687363,2649600,0.0,0.0
1962-01-19 00:00:00-05:00,0.045558958940979076,0.04654949903488159,0.045558958940979076,0.04654949903488159,1459200,0.0,0.0
1962-01-22 00:00:00-05:00,0.04654948349442327,0.04704465986739846,0.046054309955042956,0.04692086577415466,1075200,0.0,0.0
1962-01-23 00:00:00-05:00,0.04679708304120271,0.04679708304120271,0.04593033716082573,0.04593033716082573,768000,0.0,0.0
1962-01-24 00:00:00-05:00,0.04593034065462278,0.046054324638252764,0.04456860802838325,0.045435164123773575,2611200,0.0,0.0
1962-01-25 00:00:00-05:00,0.045435209959617306,0.046178162522716705,0.04506382718682289,0.04506382718682289,1574400,0.0,0.0
1962-01-26 00:00:00-05:00,0.04506377939261436,0.04506377939261436,0.04432101746839029,0.04456860572099686,1574400,0.0,0.0
1962-01-29 00:00:00-05:00,0.04456860572099686,0.04469239984730015,0.04444481159469357,0.04456860572099686,307200,0.0,0.0
1962-01-30 00:00:00-05:00,0.04456862517417557,0.04494000771518535,0.044382840394973755,0.044382840394973755,1574400,0.0,0.0
1962-01-31 00:00:00-05:00,0.04456863819825781,0.04617814719676971,0.04456863819825781,0.046178147196769714,1766400,0.0,0.0
1962-02-01 00:00:00-05:00,0.04654949903488159,0.04729226100871912,0.04654949903488159,0.04654949903488159,1420800,0.0,0.0
1962-02-02 00:00:00-05:00,0.04654949188441855,0.04704466834664345,0.045806540173785236,0.04704466834664345,1152000,0.0,0.0
1962-02-05 00:00:00-05:00,0.04704466834664345,0.04704466834664345,0.04667328599997478,0.04704466834664345,384000,0.0,0.0
1962-02-06 00:00:00-05:00,0.04704464814796678,0.04704464814796678,0.046425677835941315,0.046425677835941315,691200,0.0,0.0
1962-02-07 00:00:00-05:00,0.04642568364923551,0.046673271805047996,0.04642568364923551,0.04667327180504799,192000,0.0,0.0
1962-02-08 00:00:00-05:00,0.04667329142346642,0.047044673813290167,0.04617811490370143,0.04679708555340767,768000,0.0,0.0
1962-02-09 00:00:00-05:00,0.046797080115531,0.04704466834664345,0.04654949188441855,0.04704466834664345,729600,0.0,0.0
1962-02-12 00:00:00-05:00,0.04704465403876672,0.047168445283078425,0.046673271805047996,0.04667327180504799,307200,0.0,0.0
